model,bm25_k1,bm25_b,search_time_sec,avg_query_time_sec,name,map,recip_rank,P.5,P.10,recall.100,ndcg_cut.10
BM25,1.2,1.0,2.8190980849999505,0.012529324822222002,Group_Blue_Run,0.012747386032675714,0.025855795770005,0.006382978723404256,0.00425531914893617,0.08086576544023352,0.007164208690380679
BM25,2.0,0.3,2.964146120999885,0.01317398275999949,Group_Blue_Run,0.012538303214604165,0.027037791955866173,0.006382978723404256,0.005319148936170213,0.07711664812728644,0.007358412655872899
BM25,0.9,1.0,3.010605813999973,0.013380470284444326,Group_Blue_Run,0.012500341942922618,0.025732375590993267,0.006382978723404256,0.00425531914893617,0.07721834902685966,0.007117892564476303
BM25,1.5,0.5,2.9415821570000844,0.013073698475555931,Group_Blue_Run,0.012469830026325466,0.026734026277826655,0.006382978723404256,0.005319148936170213,0.07553433564071863,0.007343933487032775
BM25,,,3.597828160000063,0.015990347377778057,Group_Blue_Run,0.012427345142409462,0.02570994712705355,0.006382978723404256,0.00425531914893617,0.07617178920370411,0.006888786455926701
BM25,1.2,0.75,2.9616746719998446,0.013162998542221532,Group_Blue_Run,0.012427345142409462,0.02570994712705355,0.006382978723404256,0.00425531914893617,0.07617178920370411,0.006888786455926701
BM25,1.2,0.5,2.9203786770001443,0.012979460786667308,Group_Blue_Run,0.01229311461557593,0.026390030852787256,0.00425531914893617,0.005319148936170213,0.07711741568124547,0.007296426831294821
BM25,0.9,0.75,2.854288950999944,0.012685728671110863,Group_Blue_Run,0.012269844033658404,0.025685620616632973,0.006382978723404256,0.00425531914893617,0.07716769046556281,0.006888786455926701
BM25,1.5,0.3,2.829366202000074,0.012574960897778107,Group_Blue_Run,0.01216482614868874,0.02477048621209688,0.006382978723404256,0.005319148936170213,0.0725995930783165,0.007025364212079281
BM25,0.6,1.0,2.96156062,0.013162491644444446,Group_Blue_Run,0.012088448173234066,0.025450944435625192,0.006382978723404256,0.00425531914893617,0.07394242872966277,0.006888786455926701
BM25,0.9,0.5,2.877615730999878,0.012789403248888347,Group_Blue_Run,0.011993345393616822,0.023804653376586743,0.00425531914893617,0.005319148936170213,0.07250288127947703,0.007009727091363059
BM25,1.2,0.3,3.0093514399998185,0.013374895288888081,Group_Blue_Run,0.011967730661204974,0.02383622143959403,0.006382978723404256,0.005319148936170213,0.07072983163408696,0.006884994631333326
BM25,0.6,0.75,3.224504060000072,0.014331129155555875,Group_Blue_Run,0.011891415862423128,0.02346471255839444,0.006382978723404256,0.00425531914893617,0.07564793362665703,0.006623673326727861
BM25,0.6,0.5,3.0956678600000487,0.01375852382222244,Group_Blue_Run,0.011804801982723795,0.022863511018107407,0.006382978723404256,0.005319148936170213,0.07462989138521053,0.007334814280421418
BM25,0.9,0.3,2.945222369000021,0.01308987719555565,Group_Blue_Run,0.011692606248413756,0.023270331455770992,0.00425531914893617,0.00425531914893617,0.07246462166674933,0.006216716112643059
BM25,1.5,1.0,2.8070439110001644,0.012475750715556287,Group_Blue_Run,0.011643329121649313,0.020806889204096714,0.006382978723404256,0.005319148936170213,0.08078977759828823,0.0060795741659249395
BM25,2.0,0.75,2.8563419179999983,0.012694852968888882,Group_Blue_Run,0.01162770497696471,0.021414804426296053,0.00425531914893617,0.006382978723404255,0.08248338540891732,0.006446702798737106
BM25,0.6,0.3,3.21659012300006,0.01429595610222249,Group_Blue_Run,0.011486457571432193,0.022678993942383825,0.00425531914893617,0.005319148936170213,0.0710837920944304,0.0071610359488239635
BM25,2.0,0.5,2.868380686000137,0.012748358604445053,Group_Blue_Run,0.011429739466802893,0.021979000557866835,0.006382978723404256,0.005319148936170213,0.07819391010880374,0.0058791277244852995
BM25,2.0,1.0,2.9905952439999055,0.013291534417777359,Group_Blue_Run,0.011372188167028457,0.0184985035904693,0.006382978723404256,0.005319148936170213,0.08618146038358804,0.005247926799226935
BM25,1.5,0.75,2.81680659299991,0.012519140413332934,Group_Blue_Run,0.01119025729867144,0.02066418830415836,0.006382978723404256,0.005319148936170213,0.07986986417837483,0.005786519318270426
PL2,,,3.2601309320000382,0.014489470808889059,Group_Blue_Run,0.010016607966728664,0.018320073084683225,0.00425531914893617,0.005319148936170213,0.07454188837167561,0.004892819163521106
TF_IDF,,,4.953421271000025,0.022015205648888998,Group_Blue_Run,0.00927119657552388,0.014939773230906929,0.00425531914893617,0.00425531914893617,0.06952084558467538,0.004025097929870808
